id,prefectureCode,municipalityCode,name,nameKana,municipalityType,officialUrl,representativePhone,supportLevel,status,lastVerifiedAt
osaka-kishiwada,27,27202,岸和田市,きしわだし,city,https://www.city.kishiwada.osaka.jp/,,basic,published,2026-07-01
osaka-nose,27,27322,能勢町,のせちょう,town,https://www.town.nose.osaka.jp/,,basic,published,2026-07-01
hokkaido-sapporo,01,011002,札幌市,さっぽろし,city,https://www.city.sapporo.jp/,011-211-2111,standard,published,2026-07-26
kanagawa-yokohama,14,141003,横浜市,よこはまし,city,https://www.city.yokohama.lg.jp/,045-671-2121,standard,published,2026-07-26
okinawa-naha,47,472018,那覇市,なはし,city,https://www.city.naha.okinawa.jp/,098-867-0111,standard,published,2026-07-26
miyagi-sendai,04,041009,仙台市,せんだいし,city,https://www.city.sendai.jp/,022-261-1111,standard,published,2026-07-26
aichi-nagoya,23,231002,名古屋市,なごやし,city,https://www.city.nagoya.jp/,052-961-1111,standard,published,2026-07-26
hyogo-kobe,28,281000,神戸市,こうべし,city,https://www.city.kobe.lg.jp/,078-333-3330,standard,published,2026-07-26
fukuoka-fukuoka,40,401307,福岡市,ふくおかし,city,https://www.city.fukuoka.lg.jp/,092-711-4111,standard,published,2026-07-26
jp-01202,01,012025,函館市,はこだてし,city,https://www.city.hakodate.hokkaido.jp/,,basic,published,2026-07-26
jp-01203,01,012033,小樽市,おたるし,city,https://www.city.otaru.lg.jp/,,basic,published,2026-07-26
jp-01204,01,012041,旭川市,あさひかわし,city,https://www.city.asahikawa.hokkaido.jp/,,basic,published,2026-07-26
jp-01205,01,012050,室蘭市,むろらんし,city,https://www.city.muroran.lg.jp/,,basic,published,2026-07-26
jp-01206,01,012068,釧路市,くしろし,city,https://www.city.kushiro.lg.jp/,,basic,published,2026-07-26
jp-01207,01,012076,帯広市,おびひろし,city,https://www.city.obihiro.hokkaido.jp/,,basic,published,2026-07-26
jp-02201,02,022012,青森市,あおもりし,city,https://www.city.aomori.aomori.jp/,017-734-1111,standard,published,2026-07-26
jp-02202,02,022020,弘前市,ひろさきし,city,https://www.city.hirosaki.aomori.jp/,,basic,published,2026-07-26
jp-02203,02,022039,八戸市,はちのへし,city,https://www.city.hachinohe.aomori.jp/,,basic,published,2026-07-26
jp-02204,02,022047,黒石市,くろいしし,city,https://www.city.kuroishi.aomori.jp/,,basic,published,2026-07-26
jp-02205,02,022055,五所川原市,ごしょがわらし,city,https://www.city.goshogawara.lg.jp/,,basic,published,2026-07-26
jp-02206,02,022063,十和田市,とわだし,city,https://www.city.towada.lg.jp/,,basic,published,2026-07-26
jp-03201,03,032018,盛岡市,もりおかし,city,https://www.city.morioka.iwate.jp/,019-651-4111,standard,published,2026-07-26
jp-03202,03,032026,宮古市,みやこし,city,https://www.city.miyako.iwate.jp/,,basic,published,2026-07-26
jp-03205,03,032050,花巻市,はなまきし,city,https://www.city.hanamaki.iwate.jp/,,basic,published,2026-07-26
jp-03206,03,032069,北上市,きたかみし,city,https://www.city.kitakami.iwate.jp/,,basic,published,2026-07-26
jp-03207,03,032077,久慈市,くじし,city,https://www.city.kuji.lg.jp/,,basic,published,2026-07-26
jp-03209,03,032093,一関市,いちのせきし,city,https://www.city.ichinoseki.iwate.jp/,,basic,published,2026-07-26
jp-03210,03,032107,陸前高田市,りくぜんたかたし,city,https://www.city.rikuzentakata.iwate.jp/,,basic,published,2026-07-26
jp-04202,04,042021,石巻市,いしのまきし,city,https://www.city.ishinomaki.lg.jp/,,basic,published,2026-07-26
jp-04203,04,042030,塩竈市,しおがまし,city,https://www.city.shiogama.miyagi.jp/,,basic,published,2026-07-26
jp-04205,04,042056,気仙沼市,けせんぬまし,city,https://www.kesennuma.miyagi.jp/,,basic,published,2026-07-26
jp-04206,04,042064,白石市,しろいしし,city,https://www.city.shiroishi.miyagi.jp/,,basic,published,2026-07-26
jp-04207,04,042072,名取市,なとりし,city,https://www.city.natori.miyagi.jp/,,basic,published,2026-07-26
jp-04208,04,042080,角田市,かくだし,city,https://www.city.kakuda.lg.jp/,,basic,published,2026-07-26
jp-04212,04,042129,登米市,とめし,city,https://www.city.tome.miyagi.jp/,,basic,published,2026-07-26
jp-05201,05,052019,秋田市,あきたし,city,https://www.city.akita.lg.jp/,018-863-2222,standard,published,2026-07-26
jp-05202,05,052027,能代市,のしろし,city,https://www.city.noshiro.lg.jp/,,basic,published,2026-07-26
jp-05203,05,052035,横手市,よこてし,city,https://www.city.yokote.lg.jp/,,basic,published,2026-07-26
jp-05206,05,052060,男鹿市,おがし,city,https://www.city.oga.akita.jp/,,basic,published,2026-07-26
jp-05209,05,052094,鹿角市,かづのし,city,https://www.city.kazuno.lg.jp/,,basic,published,2026-07-26
jp-05211,05,052116,潟上市,かたがみし,city,https://www.city.katagami.lg.jp/,,basic,published,2026-07-26
jp-05212,05,052124,大仙市,だいせんし,city,https://www.city.daisen.lg.jp/,,basic,published,2026-07-26
jp-06202,06,062022,米沢市,よねざわし,city,https://www.city.yonezawa.yamagata.jp/,,basic,published,2026-07-26
jp-06203,06,062030,鶴岡市,つるおかし,city,https://www.city.tsuruoka.lg.jp/,,basic,published,2026-07-26
jp-06204,06,062049,酒田市,さかたし,city,https://www.city.sakata.lg.jp/,,basic,published,2026-07-26
jp-06206,06,062065,寒河江市,さがえし,city,https://www.city.sagae.yamagata.jp/,,basic,published,2026-07-26
jp-06207,06,062073,上山市,かみのやまし,city,https://www.city.kaminoyama.yamagata.jp/,,basic,published,2026-07-26
jp-06208,06,062081,村山市,むらやまし,city,https://www.city.murayama.lg.jp/,,basic,published,2026-07-26
jp-06209,06,062090,長井市,ながいし,city,https://www.city.nagai.yamagata.jp/,,basic,published,2026-07-26
jp-07201,07,072010,福島市,ふくしまし,city,https://www.city.fukushima.fukushima.jp/,024-535-1111,standard,published,2026-07-26
jp-07202,07,072028,会津若松市,あいづわかまつし,city,https://www.city.aizuwakamatsu.fukushima.jp/,,basic,published,2026-07-26
jp-07204,07,072044,いわき市,いわきし,city,https://www.city.iwaki.lg.jp/,,basic,published,2026-07-26
jp-07205,07,072052,白河市,しらかわし,city,https://www.city.shirakawa.fukushima.jp/,,basic,published,2026-07-26
jp-07207,07,072079,須賀川市,すかがわし,city,https://www.city.sukagawa.fukushima.jp/,,basic,published,2026-07-26
jp-07208,07,072087,喜多方市,きたかたし,city,https://www.city.kitakata.fukushima.jp/,,basic,published,2026-07-26
jp-07210,07,072109,二本松市,にほんまつし,city,https://www.city.nihonmatsu.lg.jp/,,basic,published,2026-07-26
jp-08205,08,082058,石岡市,いしおかし,city,https://www.city.ishioka.lg.jp/,0299-23-1111,standard,published,2026-07-26
jp-08210,08,082104,下妻市,しもつまし,city,https://www.city.shimotsuma.lg.jp/,0296-43-2111,standard,published,2026-07-26
jp-08214,08,082147,高萩市,たかはぎし,city,https://www.city.takahagi.ibaraki.jp/,0293-23-2111,standard,published,2026-07-26
jp-08215,08,082155,北茨城市,きたいばらきし,city,https://www.city.kitaibaraki.lg.jp/,0293-43-1111,standard,published,2026-07-26
jp-08216,08,082163,笠間市,かさまし,city,https://www.city.kasama.lg.jp/,0296-77-1101,standard,published,2026-07-26
jp-08219,08,082198,牛久市,うしくし,city,https://www.city.ushiku.lg.jp/,029-873-2111,standard,published,2026-07-26
jp-08223,08,082236,潮来市,いたこし,city,https://www.city.itako.lg.jp/,0299-63-1111,standard,published,2026-07-26
jp-09201,09,092011,宇都宮市,うつのみやし,city,https://www.city.utsunomiya.lg.jp/,028-632-2222,standard,published,2026-07-26
jp-09202,09,092029,足利市,あしかがし,city,https://www.city.ashikaga.tochigi.jp/,0284-20-2222,standard,published,2026-07-26
jp-09203,09,092037,栃木市,とちぎし,city,https://www.city.tochigi.lg.jp/,0282-22-3535,standard,published,2026-07-26
jp-09204,09,092045,佐野市,さのし,city,https://www.city.sano.lg.jp/,0283-24-5111,standard,published,2026-07-26
jp-09205,09,092053,鹿沼市,かぬまし,city,https://www.city.kanuma.tochigi.jp/,0289-64-2111,standard,published,2026-07-26
jp-09208,09,092088,小山市,おやまし,city,https://www.city.oyama.tochigi.jp/,0285-23-1111,standard,published,2026-07-26
jp-09211,09,092118,矢板市,やいたし,city,https://www.city.yaita.tochigi.jp/,0287-43-1111,standard,published,2026-07-26
jp-10201,10,102016,前橋市,まえばしし,city,https://www.city.maebashi.gunma.jp/,027-224-1111,standard,published,2026-07-26
jp-10202,10,102024,高崎市,たかさきし,city,https://www.city.takasaki.gunma.jp/,027-321-1111,standard,published,2026-07-26
jp-10204,10,102041,伊勢崎市,いせさきし,city,https://www.city.isesaki.lg.jp/,0270-24-5111,standard,published,2026-07-26
jp-10206,10,102067,沼田市,ぬまたし,city,https://www.city.numata.gunma.jp/,0278-23-2111,standard,published,2026-07-26
jp-10207,10,102075,館林市,たてばやしし,city,https://www.city.tatebayashi.gunma.jp/,0276-72-4111,standard,published,2026-07-26
jp-10208,10,102083,渋川市,しぶかわし,city,https://www.city.shibukawa.lg.jp/,0279-22-2111,standard,published,2026-07-26
jp-10209,10,102091,藤岡市,ふじおかし,city,https://www.city.fujioka.gunma.jp/,0274-22-1211,standard,published,2026-07-26
jp-11100,11,111007,さいたま市,さいたまし,city,https://www.city.saitama.lg.jp/,048-829-1111,standard,published,2026-07-26
jp-11201,11,112011,川越市,かわごえし,city,https://www.city.kawagoe.saitama.jp/,049-224-8811,standard,published,2026-07-26
jp-11202,11,112020,熊谷市,くまがやし,city,https://www.city.kumagaya.lg.jp/,048-524-1111,standard,published,2026-07-26
jp-11203,11,112038,川口市,かわぐちし,city,https://www.city.kawaguchi.lg.jp/,048-258-1110,standard,published,2026-07-26
jp-11207,11,112070,秩父市,ちちぶし,city,https://www.city.chichibu.lg.jp/,0494-22-2211,standard,published,2026-07-26
jp-11208,11,112089,所沢市,ところざわし,city,https://www.city.tokorozawa.saitama.jp/,04-2998-9201,standard,published,2026-07-26
jp-11210,11,112100,加須市,かぞし,city,https://www.city.kazo.lg.jp/,0480-62-1111,standard,published,2026-07-26
jp-12203,12,122033,市川市,いちかわし,city,https://www.city.ichikawa.lg.jp/,047-334-1111,standard,published,2026-07-26
jp-12204,12,122041,船橋市,ふなばしし,city,https://www.city.funabashi.lg.jp/,047-436-2111,standard,published,2026-07-26
jp-12205,12,122050,館山市,たてやまし,city,https://www.city.tateyama.chiba.jp/,0470-22-3111,standard,published,2026-07-26
jp-12206,12,122068,木更津市,きさらづし,city,https://www.city.kisarazu.lg.jp/,0438-23-7111,standard,published,2026-07-26
jp-12207,12,122076,松戸市,まつどし,city,https://www.city.matsudo.chiba.jp/,047-366-1111,standard,published,2026-07-26
jp-12208,12,122084,野田市,のだし,city,https://www.city.noda.chiba.jp/,04-7125-1111,standard,published,2026-07-26
jp-12210,12,122106,茂原市,もばらし,city,https://www.city.mobara.chiba.jp/,0475-23-2111,standard,published,2026-07-26
jp-13101,13,131016,千代田区,ちよだく,special_ward,https://www.city.chiyoda.lg.jp/,,basic,published,2026-07-26
jp-13103,13,131032,港区,みなとく,special_ward,https://www.city.minato.tokyo.jp/,,basic,published,2026-07-26
jp-13107,13,131075,墨田区,すみだく,special_ward,https://www.city.sumida.lg.jp/,,basic,published,2026-07-26
jp-13109,13,131091,品川区,しながわく,special_ward,https://www.city.shinagawa.tokyo.jp/,,basic,published,2026-07-26
jp-13110,13,131105,目黒区,めぐろく,special_ward,https://www.city.meguro.tokyo.jp/,,basic,published,2026-07-26
jp-13113,13,131130,渋谷区,しぶやく,special_ward,https://www.city.shibuya.tokyo.jp/,,basic,published,2026-07-26
jp-13115,13,131156,杉並区,すぎなみく,special_ward,https://www.city.suginami.tokyo.jp/,,basic,published,2026-07-26
jp-14150,14,141500,相模原市,さがみはらし,city,https://www.city.sagamihara.kanagawa.jp/,042-754-1111,standard,published,2026-07-26
jp-14203,14,142034,平塚市,ひらつかし,city,https://www.city.hiratsuka.kanagawa.jp/,0463-23-1111,standard,published,2026-07-26
jp-14204,14,142042,鎌倉市,かまくらし,city,https://www.city.kamakura.kanagawa.jp/,0467-23-3000,standard,published,2026-07-26
jp-14205,14,142050,藤沢市,ふじさわし,city,https://www.city.fujisawa.kanagawa.jp/,0466-25-1111,standard,published,2026-07-26
jp-14206,14,142069,小田原市,おだわらし,city,https://www.city.odawara.kanagawa.jp/,0465-33-1300,standard,published,2026-07-26
jp-14207,14,142077,茅ヶ崎市,ちがさきし,city,https://www.city.chigasaki.kanagawa.jp/,0467-82-1111,standard,published,2026-07-26
jp-15100,15,151009,新潟市,にいがたし,city,https://www.city.niigata.lg.jp/,025-228-1000,standard,published,2026-07-26
jp-15202,15,152021,長岡市,ながおかし,city,https://www.city.nagaoka.niigata.jp/,0258-35-1122,standard,published,2026-07-26
jp-15205,15,152056,柏崎市,かしわざきし,city,https://www.city.kashiwazaki.lg.jp/,0257-23-5111,standard,published,2026-07-26
jp-15206,15,152064,新発田市,しばたし,city,https://www.city.shibata.lg.jp/,0254-22-3030,standard,published,2026-07-26
jp-15208,15,152080,小千谷市,おぢやし,city,https://www.city.ojiya.niigata.jp/,0258-83-3511,standard,published,2026-07-26
jp-15209,15,152099,加茂市,かもし,city,https://www.city.kamo.niigata.jp/,0256-52-0080,standard,published,2026-07-26
jp-15211,15,152110,見附市,みつけし,city,https://www.city.mitsuke.niigata.jp/,0258-62-1700,standard,published,2026-07-26
jp-16201,16,162019,富山市,とやまし,city,https://www.city.toyama.lg.jp/,076-431-6111,standard,published,2026-07-26
jp-16202,16,162027,高岡市,たかおかし,city,https://www.city.takaoka.toyama.jp/,,standard,published,2026-07-26
jp-16205,16,162051,氷見市,ひみし,city,https://www.city.himi.toyama.jp/,,standard,published,2026-07-26
jp-16206,16,162060,滑川市,なめりかわし,city,https://www.city.namerikawa.toyama.jp/,,standard,published,2026-07-26
jp-16207,16,162078,黒部市,くろべし,city,https://www.city.kurobe.toyama.jp/,,standard,published,2026-07-26
jp-16208,16,162086,砺波市,となみし,city,https://www.city.tonami.lg.jp/,,standard,published,2026-07-26
jp-16209,16,162094,小矢部市,おやべし,city,https://www.city.oyabe.toyama.jp/,,standard,published,2026-07-26
jp-17202,17,172022,七尾市,ななおし,city,https://www.city.nanao.lg.jp/,0767-53-1111,standard,published,2026-07-26
jp-17203,17,172030,小松市,こまつし,city,https://www.city.komatsu.lg.jp/,0761-22-4111,standard,published,2026-07-26
jp-17204,17,172049,輪島市,わじまし,city,https://www.city.wajima.ishikawa.jp/,0768-22-2211,standard,published,2026-07-26
jp-17205,17,172057,珠洲市,すずし,city,https://www.city.suzu.lg.jp/,0768-82-2222,standard,published,2026-07-26
jp-17206,17,172065,加賀市,かがし,city,https://www.city.kaga.ishikawa.jp/,0761-72-1111,standard,published,2026-07-26
jp-17207,17,172073,羽咋市,はくいし,city,https://www.city.hakui.lg.jp/,0767-22-1111,standard,published,2026-07-26
jp-17209,17,172090,かほく市,かほくし,city,https://www.city.kahoku.lg.jp/,076-283-1111,standard,published,2026-07-26
jp-18201,18,182010,福井市,ふくいし,city,https://www.city.fukui.lg.jp/,0776-20-5111,standard,published,2026-07-26
jp-18202,18,182028,敦賀市,つるがし,city,https://www.city.tsuruga.lg.jp/,0770-21-1111,standard,published,2026-07-26
jp-18206,18,182060,勝山市,かつやまし,city,https://www.city.katsuyama.fukui.jp/,0779-88-1111,standard,published,2026-07-26
jp-18207,18,182079,鯖江市,さばえし,city,https://www.city.sabae.fukui.jp/,0778-51-2200,standard,published,2026-07-26
jp-18208,18,182087,あわら市,あわらし,city,https://www.city.awara.lg.jp/,0776-73-1221,standard,published,2026-07-26
jp-18209,18,182095,越前市,えちぜんし,city,https://www.city.echizen.lg.jp/,0778-22-3000,standard,published,2026-07-26
jp-18322,18,183229,永平寺町,えいへいじちょう,town,https://www.town.eiheiji.lg.jp/,0776-61-1111,standard,published,2026-07-26
jp-19202,19,192023,富士吉田市,ふじよしだし,city,https://www.city.fujiyoshida.yamanashi.jp/,,basic,published,2026-07-26
jp-19204,19,192040,都留市,つるし,city,https://www.city.tsuru.yamanashi.jp/,,basic,published,2026-07-26
jp-19205,19,192058,山梨市,やまなしし,city,https://www.city.yamanashi.yamanashi.jp/,,basic,published,2026-07-26
jp-19207,19,192074,韮崎市,にらさきし,city,https://www.city.nirasaki.lg.jp/,,basic,published,2026-07-26
jp-19209,19,192090,北杜市,ほくとし,city,https://www.city.hokuto.yamanashi.jp/,,basic,published,2026-07-26
jp-19210,19,192104,甲斐市,かいし,city,https://www.city.kai.yamanashi.jp/,,basic,published,2026-07-26
jp-19211,19,192112,笛吹市,ふえふきし,city,https://www.city.fuefuki.yamanashi.jp/,,basic,published,2026-07-26
jp-20201,20,202011,長野市,ながのし,city,https://www.city.nagano.nagano.jp/,026-226-4911,standard,published,2026-07-26
jp-20202,20,202029,松本市,まつもとし,city,https://www.city.matsumoto.nagano.jp/,,basic,published,2026-07-26
jp-20203,20,202037,上田市,うえだし,city,https://www.city.ueda.nagano.jp/,,basic,published,2026-07-26
jp-20204,20,202045,岡谷市,おかやし,city,https://www.city.okaya.lg.jp/,,basic,published,2026-07-26
jp-20205,20,202053,飯田市,いいだし,city,https://www.city.iida.lg.jp/,,basic,published,2026-07-26
jp-20206,20,202061,諏訪市,すわし,city,https://www.city.suwa.lg.jp/,,basic,published,2026-07-26
jp-20207,20,202070,須坂市,すざかし,city,https://www.city.suzaka.nagano.jp/,,basic,published,2026-07-26
jp-21201,21,212016,岐阜市,ぎふし,city,https://www.city.gifu.lg.jp/,058-265-4141,standard,published,2026-07-26
jp-21203,21,212032,高山市,たかやまし,city,https://www.city.takayama.lg.jp/,,basic,published,2026-07-26
jp-21204,21,212040,多治見市,たじみし,city,https://www.city.tajimi.lg.jp/,,basic,published,2026-07-26
jp-21205,21,212059,関市,せきし,city,https://www.city.seki.lg.jp/,,basic,published,2026-07-26
jp-21206,21,212067,中津川市,なかつがわし,city,https://www.city.nakatsugawa.lg.jp/,,basic,published,2026-07-26
jp-21207,21,212075,美濃市,みのし,city,https://www.city.mino.gifu.jp/,,basic,published,2026-07-26
jp-21208,21,212083,瑞浪市,みずなみし,city,https://www.city.mizunami.lg.jp/,,basic,published,2026-07-26
jp-22100,22,221007,静岡市,しずおかし,city,https://www.city.shizuoka.lg.jp/,054-254-2111,standard,published,2026-07-26
jp-22130,22,221309,浜松市,はままつし,city,https://www.city.hamamatsu.shizuoka.jp/,,basic,published,2026-07-26
jp-22203,22,222038,沼津市,ぬまづし,city,https://www.city.numazu.shizuoka.jp/,,basic,published,2026-07-26
jp-22205,22,222054,熱海市,あたみし,city,https://www.city.atami.lg.jp/,,basic,published,2026-07-26
jp-22206,22,222062,三島市,みしまし,city,https://www.city.mishima.shizuoka.jp/,,basic,published,2026-07-26
jp-22207,22,222070,富士宮市,ふじのみやし,city,https://www.city.fujinomiya.lg.jp/,,basic,published,2026-07-26
jp-22209,22,222097,島田市,しまだし,city,https://www.city.shimada.shizuoka.jp/,,basic,published,2026-07-26
jp-23201,23,232017,豊橋市,とよはしし,city,https://www.city.toyohashi.lg.jp/,,basic,published,2026-07-26
jp-23202,23,232025,岡崎市,おかざきし,city,https://www.city.okazaki.lg.jp/,,basic,published,2026-07-26
jp-23203,23,232033,一宮市,いちのみやし,city,https://www.city.ichinomiya.aichi.jp/,,basic,published,2026-07-26
jp-23204,23,232041,瀬戸市,せとし,city,https://www.city.seto.aichi.jp/,,basic,published,2026-07-26
jp-23205,23,232050,半田市,はんだし,city,https://www.city.handa.lg.jp/,,basic,published,2026-07-26
jp-23206,23,232068,春日井市,かすがいし,city,https://www.city.kasugai.lg.jp/,,basic,published,2026-07-26
jp-23207,23,232076,豊川市,とよかわし,city,https://www.city.toyokawa.lg.jp/,,basic,published,2026-07-26
jp-24202,24,242020,四日市市,よっかいちし,city,https://www.city.yokkaichi.lg.jp/,,basic,published,2026-07-26
jp-24203,24,242039,伊勢市,いせし,city,https://www.city.ise.mie.jp/,,basic,published,2026-07-26
jp-24204,24,242047,松阪市,まつさかし,city,https://www.city.matsusaka.mie.jp/,,basic,published,2026-07-26
jp-24205,24,242055,桑名市,くわなし,city,https://www.city.kuwana.lg.jp/,,basic,published,2026-07-26
jp-24207,24,242071,鈴鹿市,すずかし,city,https://www.city.suzuka.lg.jp/,,basic,published,2026-07-26
jp-24208,24,242080,名張市,なばりし,city,https://www.city.nabari.lg.jp/,,basic,published,2026-07-26
jp-25202,25,252026,彦根市,ひこねし,city,https://www.city.hikone.lg.jp/,,basic,published,2026-07-26
jp-25203,25,252034,長浜市,ながはまし,city,https://www.city.nagahama.lg.jp/,,basic,published,2026-07-26
jp-25206,25,252069,草津市,くさつし,city,https://www.city.kusatsu.shiga.jp/,,basic,published,2026-07-26
jp-25207,25,252077,守山市,もりやまし,city,https://www.city.moriyama.lg.jp/,,basic,published,2026-07-26
jp-25210,25,252107,野洲市,やすし,city,https://www.city.yasu.lg.jp/,,basic,published,2026-07-26
jp-25212,25,252123,高島市,たかしまし,city,https://www.city.takashima.lg.jp/,,basic,published,2026-07-26
jp-26201,26,262013,福知山市,ふくちやまし,city,https://www.city.fukuchiyama.lg.jp/,,basic,published,2026-07-26
jp-26202,26,262021,舞鶴市,まいづるし,city,https://www.city.maizuru.kyoto.jp/,,basic,published,2026-07-26
jp-26203,26,262030,綾部市,あやべし,city,https://www.city.ayabe.lg.jp/,,basic,published,2026-07-26
jp-26204,26,262048,宇治市,うじし,city,https://www.city.uji.kyoto.jp/,,basic,published,2026-07-26
jp-26205,26,262056,宮津市,みやづし,city,https://www.city.miyazu.kyoto.jp/,,basic,published,2026-07-26
jp-26206,26,262064,亀岡市,かめおかし,city,https://www.city.kameoka.kyoto.jp/,,basic,published,2026-07-26
jp-26210,26,262102,八幡市,やわたし,city,https://www.city.yawata.kyoto.jp/,,basic,published,2026-07-26
jp-27204,27,272043,池田市,いけだし,city,https://www.city.ikeda.osaka.jp/,,basic,published,2026-07-26
jp-27208,27,272086,貝塚市,かいづかし,city,https://www.city.kaizuka.lg.jp/,,basic,published,2026-07-26
jp-27209,27,272094,守口市,もりぐちし,city,https://www.city.moriguchi.osaka.jp/,,basic,published,2026-07-26
jp-27211,27,272116,茨木市,いばらきし,city,https://www.city.ibaraki.osaka.jp/,,basic,published,2026-07-26
jp-27213,27,272132,泉佐野市,いずみさのし,city,https://www.city.izumisano.lg.jp/,,basic,published,2026-07-26
jp-27214,27,272140,富田林市,とんだばやしし,city,https://www.city.tondabayashi.lg.jp/,,basic,published,2026-07-26
jp-28201,28,282014,姫路市,ひめじし,city,https://www.city.himeji.lg.jp/,,basic,published,2026-07-26
jp-28202,28,282022,尼崎市,あまがさきし,city,https://www.city.amagasaki.hyogo.jp/,,basic,published,2026-07-26
jp-28203,28,282030,明石市,あかしし,city,https://www.city.akashi.lg.jp/,,basic,published,2026-07-26
jp-28205,28,282057,洲本市,すもとし,city,https://www.city.sumoto.lg.jp/,,basic,published,2026-07-26
jp-28206,28,282065,芦屋市,あしやし,city,https://www.city.ashiya.lg.jp/,,basic,published,2026-07-26
jp-28207,28,282073,伊丹市,いたみし,city,https://www.city.itami.lg.jp/,,basic,published,2026-07-26
jp-28208,28,282081,相生市,あいおいし,city,https://www.city.aioi.lg.jp/,,basic,published,2026-07-26
jp-29201,29,292010,奈良市,ならし,city,https://www.city.nara.lg.jp/,0742-34-1111,standard,published,2026-07-26
jp-29202,29,292028,大和高田市,やまとたかだし,city,https://www.city.yamatotakada.nara.jp/,,basic,published,2026-07-26
jp-29204,29,292044,天理市,てんりし,city,https://www.city.tenri.nara.jp/,,basic,published,2026-07-26
jp-29205,29,292052,橿原市,かしはらし,city,https://www.city.kashihara.nara.jp/,,basic,published,2026-07-26
jp-29206,29,292060,桜井市,さくらいし,city,https://www.city.sakurai.lg.jp/,,basic,published,2026-07-26
jp-29208,29,292087,御所市,ごせし,city,https://www.city.gose.nara.jp/,,basic,published,2026-07-26
jp-30201,30,302015,和歌山市,わかやまし,city,https://www.city.wakayama.wakayama.jp/,073-432-0001,standard,published,2026-07-26
jp-30202,30,302023,海南市,かいなんし,city,https://www.city.kainan.lg.jp/,,basic,published,2026-07-26
